Symbol|Date|Open|High|Low|Close
AAPL:US|06/09/2022|156.47|157.09|153.69|154.53
AAPL:US|07/09/2022|154.825|156.67|153.61|155.96
AAPL:US|08/09/2022|154.64|155.84|154.37|155.08
