symbol|date|value
usa.fr.inr.rinr|1963-06-15T00:00:00|3.37488
usa.fr.inr.rinr|1962-06-15T00:00:00|3.21535
usa.fr.inr.rinr|1961-06-15T00:00:00|3.10788
